"","X","date","maxTemp","minTemp","avgTemp","tempDept","relHum","dewPoint","wetBulbTemp","heatDays","coolDays","sunrise","sunset","weatherType","precip","snow","snowDepth","stnPressure","seaPressure","windSpeed","windPeakSpeed","windPeakDir","windSusSpeed","windSusDir","dateYr","season","windSpeedLevel","windDir","changeMaxTemp"
"152",152," 05-31",83,53,68,5.3,56,52,59,0,3,503,2010,"","0.00","0.0","0",29.1,30.03,4.7,24,200,13,30,"2016-05-31","Spring","Low","North",0
"153",153," 06-01",80,59,70,6.9,63,56,61,0,5,502,2011,"","T","0.0","0",29.07,29.98,5.6,21,130,16,150,"2016-06-01","Spring","Low","South",-3
"154",154," 06-02",80,57,68,4.6,57,52,60,0,3,502,2011,"","0.00","0.0","0",29.05,29.99,8.3,28,260,22,240,"2016-06-02","Spring","Medium","West",0
"155",155," 06-03",81,51,66,2.2,58,51,58,0,1,501,2012,"","0.00","0.0","0",29.11,30.05,2.8,13,260,10,320,"2016-06-03","Spring","Low","North",1
"156",156," 06-04",83,57,70,5.9,68,57,62,0,5,501,2013,"RA,BR","0.07","0.0","0",28.97,29.85,8.7,27,180,22,160,"2016-06-04","Spring","Medium","South",2
"157",157," 06-05",70,60,65,0.5,77,58,61,0,0,501,2013,"TS,RA,BR","0.16","0.0","0",28.69,29.6,11.9,34,260,26,260,"2016-06-05","Spring","High","West",-13
"158",158," 06-06",80,55,68,3.2,61,51,57,0,3,500,2014,"RA","0.01","0.0","0",28.7,29.63,12.7,38,270,31,270,"2016-06-06","Spring","High","West",10
"159",159," 06-07",63,48,56,-9.2,74,48,52,9,0,500,2015,"","0.00","0.0","0",28.82,29.77,10.5,23,300,17,290,"2016-06-07","Spring","High","West",-17
"160",160," 06-08",69,45,57,-8.5,56,40,49,8,0,500,2015,"","0.00","0.0","0",29,29.96,8.7,27,290,18,300,"2016-06-08","Spring","Medium","West",6
"161",161," 06-09",71,44,58,-7.8,59,45,52,7,0,500,2016,"","T","0.0","0",29.1,30.04,3.5,23,230,18,230,"2016-06-09","Spring","Low","West",2
"162",162," 06-10",86,54,70,3.8,57,57,63,0,5,500,2016,"","0.00","0.0","0",29.05,29.98,7.7,20,230,15,200,"2016-06-10","Spring","Medium","South",15
"163",163," 06-11",91,71,81,14.5,54,62,68,0,16,459,2017,"","0.00","0.0","0",28.97,29.89,12.1,32,260,24,260,"2016-06-11","Spring","High","West",5
"164",164," 06-12",81,56,68,1.2,40,40,54,0,3,459,2017,"","0.00","0.0","0",29.13,30.08,8.4,22,310,16,330,"2016-06-12","Spring","Medium","North",-10
"165",165," 06-13",72,50,61,-6.1,60,48,54,4,0,459,2018,"RA","0.03","0.0","0",29.13,30.05,4.8,15,140,12,40,"2016-06-13","Spring","Low","North",-9
"166",166," 06-14",76,60,68,0.6,55,50,57,0,3,459,2018,"","0.00","0.0","0",29.05,29.97,9.3,23,140,20,130,"2016-06-14","Spring","Medium","East",4
"167",167," 06-15",87,62,74,6.3,64,58,64,0,9,459,2019,"TS,RA","0.03","0.0","0",28.9,29.79,6.4,20,150,17,140,"2016-06-15","Spring","Low","South",11
"168",168," 06-16",71,62,66,-2,85,62,64,0,1,459,2019,"RA,BR","0.28","0.0","0",28.82,29.76,7.5,24,10,17,360,"2016-06-16","Spring","Medium","North",-16
"169",169," 06-17",87,53,70,1.7,56,53,61,0,5,459,2019,"","0.00","0.0","0",29.1,30.05,4.3,21,110,15,100,"2016-06-17","Spring","Low","East",16
"170",170," 06-18",90,56,73,4.5,48,52,61,0,8,500,2020,"","0.00","0.0","0",29.28,30.21,2.4,15,180,10,180,"2016-06-18","Spring","Low","South",3
"171",171," 06-19",91,61,76,7.2,46,54,64,0,11,500,2020,"","0.00","0.0","0",29.28,30.2,6.6,23,230,17,220,"2016-06-19","Spring","Medium","South",1
"172",172," 06-20",90,65,78,8.9,56,62,68,0,13,500,2020,"TS,RA","T","0.0","0",29.08,29.99,14.4,37,260,28,260,"2016-06-20","Spring","High","West",-1
"173",173," 06-21",81,53,67,-2.3,49,48,57,0,2,500,2020,"","0.00","0.0","0",29.01,29.92,8.1,32,280,23,290,"2016-06-21","Spring","Medium","West",-9
"174",174," 06-22",84,54,69,-0.5,51,51,60,0,4,500,2020,"","0.00","0.0","0",28.97,29.89,3.5,17,280,13,280,"2016-06-22","Summer","Low","West",3
"175",175," 06-23",78,59,68,-1.8,58,52,59,0,3,501,2021,"RA","T","0.0","0",28.96,29.9,7.5,25,60,20,50,"2016-06-23","Summer","Medium","East",-6
"176",176," 06-24",85,53,69,-1,43,46,57,0,4,501,2021,"","0.00","0.0","0",29.14,30.08,3.5,16,90,13,80,"2016-06-24","Summer","Low","East",7
"177",177," 06-25",89,60,74,3.8,44,51,62,0,9,501,2021,"","0.00","0.0","0",29.18,30.1,6.8,18,170,14,200,"2016-06-25","Summer","Medium","South",4
"178",178," 06-26",87,70,78,7.7,63,63,68,0,13,502,2021,"RA","0.01","0.0","0",29.07,29.98,10.7,27,270,22,270,"2016-06-26","Summer","High","West",-2
"179",179," 06-27",90,65,78,7.5,54,57,65,0,13,502,2021,"","0.00","0.0","0",29.05,29.97,11.8,37,250,28,250,"2016-06-27","Summer","High","West",3
"180",180," 06-28",70,52,61,-9.7,66,50,55,4,0,503,2021,"","0.00","0.0","0",29.14,30.08,5.8,16,320,13,290,"2016-06-28","Summer","Low","West",-20
"181",181," 06-29",80,46,63,-7.8,51,44,54,2,0,503,2021,"","0.00","0.0","0",29.15,30.08,3.9,16,250,12,300,"2016-06-29","Summer","Low","West",10
"182",182," 06-30",82,51,66,-5,47,46,56,0,1,504,2020,"","T","0.0","0",29.08,30,4.2,21,260,16,220,"2016-06-30","Summer","Low","South",2
"183",183," 07-01",74,52,63,-8.1,65,52,57,2,0,504,2020,"RA,FG,BR","0.30","0.0","0",29.03,29.98,8.3,26,320,20,310,"2016-07-01","Summer","Medium","West",-8
"184",184," 07-02",79,49,64,-7.2,56,47,55,1,0,505,2020,"","0.00","0.0","0",29.2,30.14,4,17,310,13,290,"2016-07-02","Summer","Low","West",5
"185",185," 07-03",80,50,65,-6.3,51,48,57,0,0,505,2020,"","0.00","0.0","0",29.16,30.09,4.2,17,150,14,170,"2016-07-03","Summer","Low","South",1
"186",186," 07-04",83,51,67,-4.4,59,55,61,0,2,506,2020,"","0.00","0.0","0",29.01,29.91,6.3,25,150,16,160,"2016-07-04","Summer","Low","South",3
"187",187," 07-05",86,65,76,4.5,64,62,67,0,11,507,2019,"BR,HZ","0.00","0.0","0",28.95,29.87,7.8,24,290,20,260,"2016-07-05","Summer","Medium","West",3
"188",188," 07-06",88,67,78,6.5,63,62,67,0,13,507,2019,"","0.00","0.0","0",28.91,29.82,8.3,24,250,18,270,"2016-07-06","Summer","Medium","West",2
"189",189," 07-07",89,64,76,4.4,71,63,67,0,11,508,2019,"TS,RA,BR","0.42","0.0","0",28.92,29.82,4.6,32,270,26,300,"2016-07-07","Summer","Low","West",1
"190",190," 07-08",90,66,78,6.4,69,64,68,0,13,509,2018,"TS,RA,FG,BR,HZ","0.73","0.0","0",28.87,29.78,8.6,63,270,48,280,"2016-07-08","Summer","Medium","West",1
"191",191," 07-09",80,62,71,-0.7,65,57,62,0,6,509,2018,"","0.00","0.0","0",28.97,29.92,8.5,23,300,18,300,"2016-07-09","Summer","Medium","West",-10
"192",192," 07-10",83,56,70,-1.7,61,56,62,0,5,510,2017,"","0.00","0.0","0",29.11,30.04,2.3,16,270,12,300,"2016-07-10","Summer","Low","West",3
"193",193," 07-11",86,63,74,2.3,62,62,67,0,9,511,2017,"RA","T","0.0","0",29.1,30,6.1,19,150,15,200,"2016-07-11","Summer","Low","South",3
"194",194," 07-12",92,68,80,8.3,66,65,69,0,15,512,2016,"TS,RA,BR","0.27","0.0","0",28.97,29.88,12.3,48,300,36,300,"2016-07-12","Summer","High","West",6
"195",195," 07-13",87,69,78,6.3,76,68,71,0,13,512,2015,"TS,RA,BR","0.15","0.0","0",28.97,29.86,9.1,29,210,22,240,"2016-07-13","Summer","Medium","West",-5
"196",196," 07-14",85,69,77,5.3,59,60,66,0,12,513,2015,"","0.00","0.0","0",28.88,29.8,14.1,35,260,28,240,"2016-07-14","Summer","High","West",-2
"197",197," 07-15",77,62,70,-1.7,72,59,62,0,5,514,2014,"RA","T","0.0","0",29,29.95,8.6,21,290,16,290,"2016-07-15","Summer","Medium","West",-8
"198",198," 07-16",77,56,66,-5.7,63,52,58,0,1,515,2013,"","0.00","0.0","0",29.18,30.11,4.4,14,270,10,290,"2016-07-16","Summer","Low","West",0
"199",199," 07-17",87,53,70,-1.7,63,58,63,0,5,516,2013,"","0.00","0.0","0",29.12,30.04,12.4,36,180,30,190,"2016-07-17","Summer","High","South",10
"200",200," 07-18",86,66,76,4.3,58,60,67,0,11,517,2012,"","T","0.0","0",29.15,30.09,9.7,34,220,24,230,"2016-07-18","Summer","Medium","West",-1
"201",201," 07-19",84,62,73,1.4,58,57,64,0,8,518,2011,"","T","0.0","0",29.28,30.21,5.6,19,10,14,10,"2016-07-19","Summer","Low","North",-2
"202",202," 07-20",91,62,76,4.4,54,59,66,0,11,519,2010,"","0.00","0.0","0",29.26,30.19,5.4,17,170,12,180,"2016-07-20","Summer","Low","South",7
"203",203," 07-21",89,68,78,6.4,74,67,71,0,13,519,2009,"TS,RA,BR","0.41","0.0","0",29.15,30.03,10,40,320,30,300,"2016-07-21","Summer","Medium","West",-2
"204",204," 07-22",91,73,82,10.5,65,68,73,0,17,520,2009,"","0.00","0.0","0",29.03,29.96,9.6,23,270,18,240,"2016-07-22","Summer","Medium","West",2
"205",205," 07-23",94,66,80,8.5,61,64,70,0,15,521,2008,"BR","0.00","0.0","0",29.05,29.97,3.5,15,140,12,140,"2016-07-23","Summer","Low","South",3
"206",206," 07-24",87,70,78,6.5,79,70,73,0,13,522,2007,"TS,RA,BR","0.88","0.0","0",29,29.91,9.4,32,220,25,220,"2016-07-24","Summer","Medium","South",-7
"207",207," 07-25",87,67,77,5.6,62,65,70,0,12,523,2006,"","0.00","0.0","0",29,29.93,8.9,22,270,17,270,"2016-07-25","Summer","Medium","West",0
"208",208," 07-26",87,61,74,2.6,64,62,67,0,9,524,2005,"","0.00","0.0","0",29.1,30.02,3.4,23,310,12,280,"2016-07-26","Summer","Low","West",0
"209",209," 07-27",89,64,76,4.7,66,62,67,0,11,525,2004,"","0.00","0.0","0",29.07,29.98,4.9,32,360,24,360,"2016-07-27","Summer","Low","North",2
"210",210," 07-28",86,63,74,2.7,73,63,67,0,9,526,2003,"TS,RA","0.04","0.0","0",29.01,29.92,5.5,29,350,21,350,"2016-07-28","Summer","Low","North",-3
"211",211," 07-29",79,64,72,0.8,69,60,64,0,7,527,2001,"RA","T","0.0","0",29.05,29.97,8.1,27,350,20,30,"2016-07-29","Summer","Medium","North",-7
"212",212," 07-30",71,63,67,-4.2,84,62,64,0,2,528,2000,"TS,RA,BR","0.15","0.0","0",29.06,30,7.4,18,40,14,50,"2016-07-30","Summer","Medium","East",-8
"213",213," 07-31",79,64,72,0.9,79,63,65,0,7,529,1959,"BR","0.00","0.0","0",29.1,30.03,4.9,15,320,12,20,"2016-07-31","Summer","Low","North",8
"214",214," 08-01",84,59,72,0.9,66,59,64,0,7,530,1958,"BR","0.00","0.0","0",29.15,30.09,2.7,15,10,9,30,"2016-08-01","Summer","Low","North",5
"215",215," 08-02",87,62,74,3,72,64,68,0,9,532,1957,"BR","0.00","0.0","0",29.16,30.09,2.9,12,50,10,70,"2016-08-02","Summer","Low","East",3
"216",216," 08-03",92,64,78,7,60,63,68,0,13,533,1956,"","0.00","0.0","0",29.14,30.05,2.7,14,170,12,170,"2016-08-03","Summer","Low","South",5
"217",217," 08-04",93,67,80,9.1,50,59,67,0,15,534,1954,"","0.00","0.0","0",29.07,29.97,5.7,20,230,14,180,"2016-08-04","Summer","Low","South",1
"218",218," 08-05",90,66,78,7.1,62,64,69,0,13,535,1953,"","0.00","0.0","0",28.93,29.84,10.1,25,300,18,310,"2016-08-05","Summer","Medium","West",-3
"219",219," 08-06",85,60,72,1.2,61,57,63,0,7,536,1952,"","0.00","0.0","0",29,29.93,5.3,19,270,13,290,"2016-08-06","Summer","Low","West",-5
"220",220," 08-07",83,59,71,0.3,59,55,61,0,6,537,1950,"","0.00","0.0","0",29.11,30.05,5,17,310,14,10,"2016-08-07","Summer","Low","North",-2
"221",221," 08-08",85,54,70,-0.7,57,53,60,0,5,538,1949,"","0.00","0.0","0",29.15,30.08,4.5,23,70,13,50,"2016-08-08","Summer","Low","East",2
"222",222," 08-09",90,57,74,3.4,59,59,65,0,9,539,1948,"","0.00","0.0","0",29.1,30.02,3.7,21,250,15,220,"2016-08-09","Summer","Low","South",5
"223",223," 08-10",93,63,78,7.5,58,62,68,0,13,540,1946,"","0.00","0.0","0",29.15,30.06,2.7,17,280,14,280,"2016-08-10","Summer","Low","West",3
"224",224," 08-11",94,69,82,11.5,66,69,73,0,17,541,1945,"RA","T","0.0","0",29.06,29.95,8.5,24,250,21,250,"2016-08-11","Summer","Medium","West",1
"225",225," 08-12",91,74,82,11.6,82,72,74,0,17,542,1943,"TS,RA,BR","1.08","0.0","0",28.92,29.84,6.1,30,280,21,280,"2016-08-12","Summer","Low","West",-3
"226",226," 08-13",86,70,78,7.7,80,70,73,0,13,543,1942,"TS,RA,BR","0.88","0.0","0",28.87,29.79,10.4,27,250,22,260,"2016-08-13","Summer","High","West",-5
"227",227," 08-14",83,66,74,3.8,75,65,68,0,9,544,1941,"FG,BR","0.00","0.0","0",29.08,30.02,3.6,14,250,10,260,"2016-08-14","Summer","Low","West",-3
"228",228," 08-15",82,63,72,1.9,78,65,68,0,7,545,1939,"RA,BR","1.34","0.0","0",29.18,30.11,3.8,18,140,15,150,"2016-08-15","Summer","Low","South",-1
"229",229," 08-16",83,69,76,6,77,66,69,0,11,547,1938,"RA,BR","1.76","0.0","0",29.05,29.97,9.2,23,190,18,210,"2016-08-16","Summer","Medium","South",1
"230",230," 08-17",84,66,75,5.1,78,65,68,0,10,548,1936,"TS,RA,BR","0.20","0.0","0",29.13,30.05,7.1,31,330,25,320,"2016-08-17","Summer","Medium","North",1
"231",231," 08-18",84,62,73,3.2,71,64,67,0,8,549,1934,"BR","0.00","0.0","0",29.13,30.04,4.6,15,220,12,200,"2016-08-18","Summer","Low","South",0
"232",232," 08-19",82,68,75,5.3,75,66,69,0,10,550,1933,"BR","0.00","0.0","0",29,29.9,8,21,250,17,240,"2016-08-19","Summer","Medium","West",-2
"233",233," 08-20",82,67,74,4.4,80,67,69,0,9,551,1931,"RA,BR","0.58","0.0","0",28.8,29.7,10.1,28,200,22,270,"2016-08-20","Summer","Medium","West",0
"234",234," 08-21",73,59,66,-3.4,75,57,61,0,1,552,1930,"","0.09","0.0","0",28.87,29.84,10.2,31,310,23,290,"2016-08-21","Summer","High","West",-9
"235",235," 08-22",78,53,66,-3.3,65,53,58,0,1,553,1928,"","0.00","0.0","0",29.21,30.16,4.4,18,250,13,240,"2016-08-22","Summer","Low","West",5
"236",236," 08-23",80,57,68,-1.1,64,56,62,0,3,554,1927,"","0.00","0.0","0",29.29,30.22,7,21,200,17,220,"2016-08-23","Summer","Medium","South",2
"237",237," 08-24",82,63,72,3.1,77,65,68,0,7,555,1925,"BR","T","0.0","0",29.11,30.02,10,26,180,21,190,"2016-08-24","Summer","Medium","South",2
"238",238," 08-25",83,63,73,4.2,78,67,69,0,8,556,1923,"TS,RA,BR","0.10","0.0","0",29.05,29.98,9.1,21,250,16,270,"2016-08-25","Summer","Medium","West",1
"239",239," 08-26",82,61,72,3.4,70,60,64,0,7,557,1922,"","0.00","0.0","0",29.18,30.13,4.1,20,270,14,260,"2016-08-26","Summer","Low","West",-1
"240",240," 08-27",78,62,70,1.6,85,65,66,0,5,558,1920,"TS,RA,BR","0.38","0.0","0",29.18,30.11,6.4,28,310,22,320,"2016-08-27","Summer","Low","North",-4
"241",241," 08-28",84,67,76,7.9,77,67,70,0,11,559,1918,"BR","0.00","0.0","0",29.23,30.17,4.9,21,280,13,290,"2016-08-28","Summer","Low","West",6
"242",242," 08-29",85,61,73,5.1,74,64,67,0,8,601,1917,"BR,HZ","0.00","0.0","0",29.31,30.24,2.6,14,100,10,110,"2016-08-29","Summer","Low","East",1
"243",243," 08-30",83,69,76,8.3,77,66,68,0,11,602,1915,"TS,RA,BR","0.05","0.0","0",29.2,30.11,5.5,18,260,15,270,"2016-08-30","Summer","Low","West",-2
"244",244," 08-31",77,61,69,1.6,72,61,65,0,4,603,1913,"TS,RA,BR,HZ","0.17","0.0","0",29.1,30.02,6.9,19,20,14,50,"2016-08-31","Summer","Medium","East",-6
"245",245," 09-01",73,56,64,-3.2,71,54,58,1,0,604,1911,"","0.00","0.0","0",29.2,30.15,8,23,10,17,10,"2016-09-01","Summer","Medium","North",-4
"246",246," 09-02",74,51,62,-4.9,70,52,57,3,0,605,1910,"","0.00","0.0","0",29.32,30.26,6.3,19,40,15,60,"2016-09-02","Summer","Low","East",1
"247",247," 09-03",77,49,63,-3.6,72,53,57,2,0,606,1908,"","0.00","0.0","0",29.3,30.24,2.5,13,100,9,140,"2016-09-03","Summer","Low","South",3
"248",248," 09-04",79,50,64,-2.3,68,55,59,1,0,607,1906,"FG,BR","0.00","0.0","0",29.29,30.23,4.2,16,130,13,210,"2016-09-04","Summer","Low","South",2
"249",249," 09-05",85,60,72,6,65,61,66,0,7,608,1905,"","0.00","0.0","0",29.23,30.15,7.7,23,180,18,190,"2016-09-05","Summer","Medium","South",6
"250",250," 09-06",90,73,82,16.3,70,70,73,0,17,609,1903,"","0.00","0.0","0",29.15,30.05,10.6,23,240,20,210,"2016-09-06","Summer","High","South",5
"251",251," 09-07",86,70,78,12.7,82,71,73,0,13,610,1901,"TS,RA,BR","0.23","0.0","0",29.07,29.97,5.4,21,300,16,310,"2016-09-07","Summer","Low","West",-4
"252",252," 09-08",80,67,74,9,85,69,71,0,9,611,1859,"RA,BR","0.27","0.0","0",28.92,29.85,9.7,28,280,23,260,"2016-09-08","Summer","Medium","West",-6
"253",253," 09-09",80,65,72,7.4,83,67,68,0,7,612,1857,"RA,FG,BR","0.04","0.0","0",29.03,29.95,3.4,13,190,10,140,"2016-09-09","Summer","Low","South",0
"254",254," 09-10",73,58,66,1.7,82,61,64,0,1,613,1856,"RA,BR,HZ","0.22","0.0","0",28.9,29.83,10.7,39,270,32,260,"2016-09-10","Summer","High","West",-7
"255",255," 09-11",72,53,62,-1.9,66,50,55,3,0,615,1854,"","0.00","0.0","0",29.21,30.17,4.3,12,310,9,260,"2016-09-11","Summer","Low","West",-1
"256",256," 09-12",76,54,65,1.5,64,52,58,0,0,616,1852,"","0.00","0.0","0",29.21,30.14,7.9,23,170,16,190,"2016-09-12","Summer","Medium","South",4
"257",257," 09-13",82,57,70,6.9,72,59,63,0,5,617,1850,"TS","0.00","0.0","0",29.13,30.06,7.4,27,100,16,230,"2016-09-13","Summer","Medium","West",6
"258",258," 09-14",73,56,64,1.3,70,53,58,1,0,618,1849,"RA","0.03","0.0","0",29.28,30.23,6,17,360,14,360,"2016-09-14","Summer","Low","North",-9
"259",259," 09-15",73,49,61,-1.3,67,49,54,4,0,619,1847,"","0.00","0.0","0",29.33,30.26,3.8,23,60,14,70,"2016-09-15","Summer","Low","East",0
"260",260," 09-16",79,53,66,4.1,67,56,61,0,1,620,1845,"","0.00","0.0","0",29.15,30.06,9.4,21,180,16,150,"2016-09-16","Summer","Medium","South",6
"261",261," 09-17",78,64,71,9.5,83,64,66,0,6,621,1843,"RA,BR","0.64","0.0","0",28.98,29.9,8.6,20,220,16,250,"2016-09-17","Summer","Medium","West",-1
"262",262," 09-18",78,57,68,6.9,77,59,62,0,3,622,1841,"BR","0.00","0.0","0",29.03,29.97,4.2,18,290,14,280,"2016-09-18","Summer","Low","West",0
"263",263," 09-19",83,53,68,7.3,64,55,61,0,3,623,1840,"BR","0.00","0.0","0",29.1,30.03,6.2,21,200,17,200,"2016-09-19","Summer","Low","South",5
"264",264," 09-20",82,57,70,9.7,60,54,61,0,5,624,1838,"RA","T","0.0","0",29.21,30.15,3.2,18,310,14,310,"2016-09-20","Summer","Low","West",-1
"265",265," 09-21",81,54,68,8.2,80,60,63,0,3,625,1836,"TS,RA,FG,BR","0.05","0.0","0",29.23,30.17,4.1,36,290,28,290,"2016-09-21","Summer","Low","West",-1
"266",266," 09-22",83,61,72,12.6,74,62,66,0,7,626,1834,"FG,BR","0.00","0.0","0",29.15,30.07,3.6,15,220,13,220,"2016-09-22","Fall","Low","South",2
"267",267," 09-23",71,58,64,5,82,59,61,1,0,628,1832,"FG,BR,HZ","0.00","0.0","0",29.16,30.11,7.5,22,10,18,10,"2016-09-23","Fall","Medium","North",-12
"268",268," 09-24",69,51,60,1.4,71,49,54,5,0,629,1831,"","0.00","0.0","0",29.29,30.24,6.7,18,60,14,60,"2016-09-24","Fall","Medium","East",-2
"269",269," 09-25",75,49,62,3.9,62,49,55,3,0,630,1829,"","0.00","0.0","0",29.21,30.11,8.7,24,150,18,150,"2016-09-25","Fall","Medium","South",6
"270",270," 09-26",68,51,60,2.3,65,49,55,5,0,631,1827,"RA,BR","0.18","0.0","0",28.95,29.88,12,35,250,29,250,"2016-09-26","Fall","High","West",-7
"271",271," 09-27",66,50,58,0.7,59,42,50,7,0,632,1825,"RA","T","0.0","0",28.84,29.77,12.4,36,250,28,260,"2016-09-27","Fall","High","West",-2
"272",272," 09-28",66,48,57,0.1,77,49,52,8,0,633,1824,"RA","0.02","0.0","0",28.97,29.93,8.3,23,50,18,60,"2016-09-28","Fall","Medium","East",0
"273",273," 09-29",61,55,58,1.5,90,56,57,7,0,634,1822,"RA,BR","1.22","0.0","0",29.21,30.17,12.4,27,50,20,50,"2016-09-29","Fall","High","East",-5
"274",274," 09-30",61,58,60,3.9,90,56,57,5,0,635,1820,"TS,RA,BR","0.45","0.0","0",29.23,30.16,10.3,22,40,17,20,"2016-09-30","Fall","High","North",0
"275",275," 10-01",68,50,59,3.3,85,54,56,6,0,636,1818,"TS,RA,BR","0.24","0.0","0",29.11,30.04,7,24,190,18,190,"2016-10-01","Fall","Medium","South",7
"276",276," 10-02",69,50,60,4.8,82,52,55,5,0,637,1817,"FG,BR,HZ","0.00","0.0","0",29.08,30.03,3.4,12,260,8,320,"2016-10-02","Fall","Low","North",1
"277",277," 10-03",67,51,59,4.1,85,54,56,6,0,639,1815,"FG,BR","T","0.0","0",29.16,30.11,3.7,13,140,9,160,"2016-10-03","Fall","Low","South",-2
"278",278," 10-04",74,49,62,7.5,75,53,57,3,0,640,1813,"BR,HZ","0.00","0.0","0",29.21,30.15,8.2,22,150,17,120,"2016-10-04","Fall","Medium","East",7
"279",279," 10-05",80,60,70,15.9,77,59,62,0,5,641,1811,"TS,RA,FG,BR","0.62","0.0","0",29.13,30.05,9.9,43,260,33,260,"2016-10-05","Fall","Medium","West",6
"280",280," 10-06",79,56,68,14.3,82,62,64,0,3,642,1810,"RA,FG,BR","0.01","0.0","0",29.2,30.13,4.8,18,180,15,180,"2016-10-06","Fall","Low","South",-1
"281",281," 10-07",82,50,66,12.7,69,55,60,0,1,643,1808,"RA","T","0.0","0",29.12,30.06,12.4,32,280,25,270,"2016-10-07","Fall","High","West",3
"282",282," 10-08",58,41,50,-2.9,66,37,43,15,0,644,1806,"RA","0.00","0.0","0",29.25,30.22,9.2,29,270,24,270,"2016-10-08","Fall","Medium","West",-24
"283",283," 10-09",61,37,49,-3.6,69,37,43,16,0,645,1805,"","0.00","0.0","0",29.41,30.38,2.5,16,350,12,20,"2016-10-09","Fall","Low","North",3
"284",284," 10-10",64,37,50,-2.2,68,41,46,15,0,647,1803,"","0.00","0.0","0",29.44,30.39,6.2,16,150,13,150,"2016-10-10","Fall","Low","South",3
"285",285," 10-11",71,51,61,9.1,62,47,53,4,0,648,1801,"","0.00","0.0","0",29.3,30.22,9.4,21,170,15,170,"2016-10-11","Fall","Medium","South",7
"286",286," 10-12",73,50,62,10.5,74,52,55,3,0,649,1800,"TS,RA,BR","0.44","0.0","0",29.05,29.99,11.2,44,240,30,240,"2016-10-12","Fall","High","West",2
"287",287," 10-13",57,38,48,-3.2,71,38,44,17,0,650,1758,"","0.00","0.0","0",29.28,30.25,6.3,22,320,16,320,"2016-10-13","Fall","Low","North",-16
"288",288," 10-14",62,34,48,-2.8,69,38,44,17,0,651,1756,"","0.00","0.0","0",29.36,30.3,5.5,18,160,14,150,"2016-10-14","Fall","Low","South",5
"289",289," 10-15",70,46,58,7.5,75,51,55,7,0,653,1755,"BR","0.00","0.0","0",29.13,30.06,12,26,210,21,210,"2016-10-15","Fall","High","South",8
"290",290," 10-16",68,62,65,14.8,88,61,62,0,0,654,1753,"TS,RA,BR","1.01","0.0","0",29.02,29.93,8.1,30,210,24,210,"2016-10-16","Fall","Medium","South",-2
"291",291," 10-17",77,63,70,20.2,76,62,65,0,5,655,1751,"RA,BR","T","0.0","0",28.82,29.7,12.4,34,210,25,190,"2016-10-17","Fall","High","South",9
"292",292," 10-18",77,51,64,14.5,70,58,62,1,0,656,1750,"","0.00","0.0","0",28.72,29.67,14.6,36,210,28,260,"2016-10-18","Fall","High","West",0
"293",293," 10-19",72,47,60,10.8,71,48,53,5,0,657,1748,"BR","0.01","0.0","0",29.13,30.08,3.3,21,230,13,290,"2016-10-19","Fall","Low","West",-5
"294",294," 10-20",56,49,52,3.1,80,48,51,13,0,659,1747,"RA","T","0.0","0",29.14,30.08,7.1,21,360,16,360,"2016-10-20","Fall","Medium","North",-16
"295",295," 10-21",51,41,46,-2.6,65,35,41,19,0,700,1745,"","T","0.0","0",29.13,30.08,8.8,23,20,16,10,"2016-10-21","Fall","Medium","North",-5
"296",296," 10-22",55,35,45,-3.2,67,35,41,20,0,701,1744,"","0.00","0.0","0",29.08,30.04,8.6,25,290,20,290,"2016-10-22","Fall","Medium","West",4
"297",297," 10-23",68,40,54,6.1,67,43,48,11,0,702,1742,"BR","0.00","0.0","0",28.98,29.93,7,24,360,17,20,"2016-10-23","Fall","Medium","North",13
"298",298," 10-24",55,36,46,-1.6,65,36,42,19,0,703,1741,"","0.00","0.0","0",29.29,30.28,8.6,23,320,17,300,"2016-10-24","Fall","Medium","West",-13
"299",299," 10-25",54,31,42,-5.3,70,32,37,23,0,705,1739,"","0.00","0.0","0",29.48,30.45,2.7,17,310,13,290,"2016-10-25","Fall","Low","West",-1
"300",300," 10-26",40,34,37,-10,86,34,36,28,0,706,1738,"RA,BR","0.62","T","0",29.4,30.33,10.4,29,110,24,100,"2016-10-26","Fall","High","East",-14
"301",301," 10-27",45,34,40,-6.7,87,38,40,25,0,707,1737,"RA,BR","0.15","0.0","0",29.16,30.14,6.4,19,350,14,330,"2016-10-27","Fall","Low","North",5
"302",302," 10-28",58,31,44,-2.3,75,40,44,21,0,708,1735,"BR","0.00","0.0","0",29.24,30.17,9.5,28,210,22,200,"2016-10-28","Fall","Medium","South",13
"303",303," 10-29",70,54,62,16,76,55,58,3,0,710,1734,"BR","0.00","0.0","0",28.97,29.91,12.7,33,220,23,220,"2016-10-29","Fall","High","South",12
"304",304," 10-30",54,37,46,0.3,79,40,44,19,0,711,1732,"RA","0.10","0.0","0",29.17,30.14,6.3,18,350,14,360,"2016-10-30","Fall","Low","North",-16
"305",305," 10-31",54,30,42,-3.4,73,35,40,23,0,712,1731,"BR","0.00","0.0","0",29.23,30.17,7.7,23,150,17,150,"2016-10-31","Fall","Medium","South",0
"306",306," 11-01",77,48,62,17,66,52,NA,3,0,713,1730,"","T","0.0","0",29,NA,10.4,26,160,21,250,"2016-11-01","Fall","High","West",23
